Por que estou sentido mais fome?,"Um problema relacionado à alimentação que algumas pessoas com diabetes tipo 2 costumam ter é um aumento exagerado e inexplicável da fome durante à noite. Como consequência, a pessoa acaba consumindo alimentos muito calóricos e gordurosos, com baixos índices de fibras e que atuam diretamente nos centros de prazer do cérebro, como os chocolates. Esse aumento de apetite por alimentos não saudáveis acaba resultando no ganho de peso, aumento da pressão e desregulação do colesterol, o que é extremamente danoso para indivíduos com diabetes.",1.1,,https://www.diabetes.org.br/publico/vivendo-com-diabetes/transtornos-alimentares
Por que estou sentido mais fome?,"Pessoas com diabetes tipo 2 e com alguma ameaça à saúde mental podem passar por epísódios da síndrome da fome noturna. Essa síndrome está vinculada ao consumo de alimentos muito calóricos, ricos em gorduras e com baixo índice de fibras, como os chocolates. Esse hábito favorece o ganho de peso, a pressão alta e as alterações no colesterol, que são extremamente prejudiciais à saude. A síndrome da fome noturna provoca: falta de apetite pela manhã, insônia e excesso de fome durante a noite, mesmo após uma refeição.",1.1,simplificada,https://www.diabetes.org.br/publico/vivendo-com-diabetes/transtornos-alimentares
Por que a minha fome aumentou?,"Pessoas com diabetes tipo 2 e com alguma ameaça à saúde mental podem passar por epísódios da síndrome da fome noturna. Essa síndrome está vinculada ao consumo de alimentos muito calóricos, ricos em gorduras e com baixo índice de fibras, como os chocolates. Esse hábito favorece o ganho de peso, a pressão alta e as alterações no colesterol, que são extremamente prejudiciais à saude. A síndrome da fome noturna provoca: falta de apetite pela manhã, insônia e excesso de fome durante a noite, mesmo após uma refeição.",1.1,simplificada,https://www.diabetes.org.br/publico/vivendo-com-diabetes/transtornos-alimentares
Por que estou tendo mais fome?,"Pessoas com diabetes tipo 2 e com alguma ameaça à saúde mental podem passar por epísódios da síndrome da fome noturna. Essa síndrome está vinculada ao consumo de alimentos muito calóricos, ricos em gorduras e com baixo índice de fibras, como os chocolates. Esse hábito favorece o ganho de peso, a pressão alta e as alterações no colesterol, que são extremamente prejudiciais à saude. A síndrome da fome noturna provoca: falta de apetite pela manhã, insônia e excesso de fome durante a noite, mesmo após uma refeição.",1.1,simplificada,https://www.diabetes.org.br/publico/vivendo-com-diabetes/transtornos-alimentares
Por que estou com mais fome?,"Pessoas com diabetes tipo 2 e com alguma ameaça à saúde mental podem passar por epísódios da síndrome da fome noturna. Essa síndrome está vinculada ao consumo de alimentos muito calóricos, ricos em gorduras e com baixo índice de fibras, como os chocolates. Esse hábito favorece o ganho de peso, a pressão alta e as alterações no colesterol, que são extremamente prejudiciais à saude. A síndrome da fome noturna provoca: falta de apetite pela manhã, insônia e excesso de fome durante a noite, mesmo após uma refeição.",1.1,simplificada,https://www.diabetes.org.br/publico/vivendo-com-diabetes/transtornos-alimentares
Por que essa mudança acontece?,"Essa súbita mudança de comportamento é provocada pela síndrome da fome noturna, caracterizada pela falta de apetite pela manhã, insônia e excesso de fome à noite. A pessoa sente fome mesmo que já tenha se alimentado à noite. Não se sabe exatamente o que causa o aparecimento dessa síndrome, mas hipóteses apontam para a ocorrência de um desequilíbrio dos hormônios que regulam os ciclos noturno e diurno do organismo, com possível influência genética. Também se sabe que ela está associada à períodos de estresse. ",1.1.A,,https://www.diabetes.org.br/publico/vivendo-com-diabetes/transtornos-alimentares
Por que essa mudança acontece?,"Ainda não se sabe a causa exata desse problema. Algumas hipóteses são: desequilíbrio dos hormônios que regulam os ciclos noturno e diurno do organismo, estresse e influência genética.",1.1.A,simplificada,https://www.diabetes.org.br/publico/vivendo-com-diabetes/transtornos-alimentares
Qual é a causa?,"Ainda não se sabe a causa exata desse problema. Algumas hipóteses são: desequilíbrio dos hormônios que regulam os ciclos noturno e diurno do organismo, estresse e influência genética.",1.1.A,simplificada,https://www.diabetes.org.br/publico/vivendo-com-diabetes/transtornos-alimentares
O que causa a síndrome da fome noturna?,"Ainda não se sabe a causa exata desse problema. Algumas hipóteses são: desequilíbrio dos hormônios que regulam os ciclos noturno e diurno do organismo, estresse e influência genética.",1.1.A,simplificada,https://www.diabetes.org.br/publico/vivendo-com-diabetes/transtornos-alimentares
A síndrome da fome noturna tem qual causa?,"Ainda não se sabe a causa exata desse problema. Algumas hipóteses são: desequilíbrio dos hormônios que regulam os ciclos noturno e diurno do organismo, estresse e influência genética.",1.1.A,simplificada,https://www.diabetes.org.br/publico/vivendo-com-diabetes/transtornos-alimentares
Qual motivo que causa a síndrome da fome noturna?,"Ainda não se sabe a causa exata desse problema. Algumas hipóteses são: desequilíbrio dos hormônios que regulam os ciclos noturno e diurno do organismo, estresse e influência genética.",1.1.A,simplificada,https://www.diabetes.org.br/publico/vivendo-com-diabetes/transtornos-alimentares
A síndrome da fome noturna é causada por qual motivo?,"Ainda não se sabe a causa exata desse problema. Algumas hipóteses são: desequilíbrio dos hormônios que regulam os ciclos noturno e diurno do organismo, estresse e influência genética.",1.1.A,simplificada,https://www.diabetes.org.br/publico/vivendo-com-diabetes/transtornos-alimentares
A síndrome da fome noturna tem tratamento?,"A síndrome da fome noturna pode ser tratada por meio da psicoterapia, da mudança dos hábitos de vida e pela administração de medicamentos prescritos pelo endocrinologista. Algumas medidas simples podem ser tomadas para ajudar no tratamento:

* Tomar café da manhã regularmente;
* Alimentar-se ao longo do dia, com pequenas porções e alimentos integrais;
* Se alimentar em horários regulares todos os dias;
* Evitar de comer rapidamente, mastigando bem a comida, principalmente à noite;
* Evitar alimentos contendo cafeína antes de deitar;
* Evitar a prática de exercícios físicos perto da hora de dormir;
* Manter uma rotina de sono regular;
* Evitar ter em casa alimentos gordurosos e muito calóricos.

É importante ter em mente que esse é um problema que pode afetar negativamente a vida de qualquer pessoa, ainda mais se ela tiver diabetes. Se for deixado de lado, pode provocar sérias consequências, por isso é fundamental que se procure ajuda profissional caso quadros de fome intensa inexplicáveis comecem a aparecer.",1.1.B,,https://www.diabetes.org.br/publico/vivendo-com-diabetes/transtornos-alimentares
A síndrome da fome noturna tem tratamento?,"Essa síndrome pode ser tratada com psicoterapia, mudanças no hábito alimentar e medicamentos prescritos por um (uma) endocrinologista.

Alguns hábitos que podem ajudar no tratamento são:

- Tomar café da manhã todos os dias;
- Se alimentar em horários regulares;
- Comer pequenas porções de alimentos;
- Dar preferência para alimentos integrais;
- Evitar comer muito rápido;
- Mastigar bem a comida;
- Evitar alimentos com cafeína antes de deitar;
- Evitar fazer exercícios físicos perto da hora de dormir;
- Manter uma rotina de sono regular;
- Evitar ter em casa alimentos gordurosos e muito calóricos.

Esse é um problema que pode afetar negativamente a vida de qualquer pessoa, ainda mais se ela tiver diabetes. Não deixe de procurar ajuda profissional quando casos de fome intensa e inexplicável começarem aparecer.",1.1.B,simplificada,https://www.diabetes.org.br/publico/vivendo-com-diabetes/transtornos-alimentares
